UUID        = 519c7bb4-12b7-4e68-9969-0fee9bf71ebb
ScanDate    = 20190813_152131
LogVersion  = EJA_1
LogDataType = PULS
SampleTime  = 2

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     22156666     PULS   1811 
     22156668     PULS   1810 
     22156670     PULS   1806 
     22156672     PULS   1806 
     22156674     PULS   1804 
     22156676     PULS   1801 
     22156678     PULS   1801 
     22156680     PULS   1799 
     22156682     PULS   1799 
     22156684     PULS   1801 
     22156686     PULS   1803 
     22156688     PULS   1803 
     22156690     PULS   1801 
     22156692     PULS   1804 
     22156694     PULS   1803 
     22156696     PULS   1804 
     22156698     PULS   1803 
     22156700     PULS   1804 
     22156702     PULS   1806 
     22156704     PULS   1806 
     22156706     PULS   1810 
     22156708     PULS   1813 
     22156710     PULS   1822 
     22156712     PULS   1831 
     22156714     PULS   1841 
     22156716     PULS   1862 
     22156718     PULS   1885 
     22156720     PULS   1915 
     22156722     PULS   1950 
     22156724     PULS   1992 
     22156726     PULS   2037 
     22156728     PULS   2090 
     22156730     PULS   2147 
     22156732     PULS   2209 
     22156734     PULS   2272 
     22156736     PULS   2338 
     22156738     PULS   2406 
     22156740     PULS   2476 
     22156742     PULS   2543 
     22156744     PULS   2609 
     22156746     PULS   2676 
     22156748     PULS   2737 
     22156750     PULS   2797 
     22156752     PULS   2849 
     22156754     PULS   2900 
     22156756     PULS   2945 
     22156758     PULS   2986 
     22156760     PULS   3022 
     22156762     PULS   3054 
     22156764     PULS   3082 
     22156766     PULS   3106 
     22156768     PULS   3124 
     22156770     PULS   3138 
     22156772     PULS   3148 
     22156774     PULS   3157 
     22156776     PULS   3159 
     22156778     PULS   3159 
     22156780     PULS   3152 
     22156782     PULS   3145 
     22156784     PULS   3133 
     22156786     PULS   3115 
     22156788     PULS   3099 
     22156790     PULS   3082 
     22156792     PULS   3061 
     22156794     PULS   3040 
     22156796     PULS   3019  PULS_TRIGGER
     22156798     PULS   2996 
     22156800     PULS   2972 
     22156802     PULS   2949 
     22156804     PULS   2924 
     22156806     PULS   2900 
     22156808     PULS   2874 
     22156810     PULS   2849 
     22156812     PULS   2825 
     22156814     PULS   2800 
     22156816     PULS   2776 
     22156818     PULS   2753 
     22156820     PULS   2728 
     22156822     PULS   2706 
     22156824     PULS   2679 
     22156826     PULS   2651 
     22156828     PULS   2623 
     22156830     PULS   2597 
     22156832     PULS   2569 
     22156834     PULS   2541 
     22156836     PULS   2517 
     22156838     PULS   2490 
     22156840     PULS   2464 
     22156842     PULS   2441 
     22156844     PULS   2419 
     22156846     PULS   2394 
     22156848     PULS   2373 
     22156850     PULS   2350 
     22156852     PULS   2329 
     22156854     PULS   2310 
     22156856     PULS   2293 
     22156858     PULS   2273 
     22156860     PULS   2258 
     22156862     PULS   2240 
     22156864     PULS   2226 
     22156866     PULS   2214 
     22156868     PULS   2203 
     22156870     PULS   2195 
     22156872     PULS   2186 
     22156874     PULS   2177 
