UUID        = 519c7bb4-12b7-4e68-9969-0fee9bf71ebb
ScanDate    = 20190813_152131
LogVersion  = EJA_1
LogDataType = RESP
SampleTime  = 8

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     22162010     RESP   2516 
     22162018     RESP   2659 
     22162026     RESP   2768 
     22162034     RESP   2846 
     22162042     RESP   2910 
     22162050     RESP   2940 
     22162058     RESP   2985 
     22162066     RESP   3041 
     22162074     RESP   3124 
     22162082     RESP   3221 
     22162090     RESP   3308 
     22162098     RESP   3405 
     22162106     RESP   3495 
     22162114     RESP   3581 
     22162122     RESP   3660 
     22162130     RESP   3720 
     22162138     RESP   3773 
     22162146     RESP   3825 
     22162154     RESP   3923 
     22162162     RESP   4001 
     22162170     RESP   4061 
     22162178     RESP   4095 
     22162186     RESP   4095 
     22162194     RESP   4095 
     22162202     RESP   4095 
     22162210     RESP   4095 
     22162218     RESP   4095 
     22162226     RESP   4095 
     22162234     RESP   4095 
     22162242     RESP   4095 
     22162250     RESP   4095 
     22162258     RESP   4095 
     22162266     RESP   4095 
     22162274     RESP   4088 
     22162282     RESP   3975 
     22162290     RESP   3866 
     22162298     RESP   3739 
     22162306     RESP   3619 
     22162314     RESP   3506 
     22162322     RESP   3401 
     22162330     RESP   3281 
     22162338     RESP   3165 
     22162346     RESP   3068 
     22162354     RESP   3000 
     22162362     RESP   2955 
     22162370     RESP   2910 
     22162378     RESP   2813 
     22162386     RESP   2704 
     22162394     RESP   2595 
     22162402     RESP   2505 
     22162410     RESP   2381 
     22162418     RESP   2258 
     22162426     RESP   2138 
     22162434     RESP   2055 
     22162442     RESP   1984 
     22162450     RESP   1935 
     22162458     RESP   1886 
     22162466     RESP   1819 
     22162474     RESP   1759 
     22162482     RESP   1703 
     22162490     RESP   1613 
     22162498     RESP   1541 
     22162506     RESP   1493 
     22162514     RESP   1455 
     22162522     RESP   1414 
     22162530     RESP   1395 
     22162538     RESP   1354 
     22162546     RESP   1316 
     22162554     RESP   1286 
     22162562     RESP   1260 
     22162570     RESP   1238 
     22162578     RESP   1230 
     22162586     RESP   1230 
     22162594     RESP   1211 
     22162602     RESP   1178 
     22162610     RESP   1136 
     22162618     RESP   1114 
     22162626     RESP   1088 
     22162634     RESP   1050 
     22162642     RESP   1016 
     22162650     RESP    971 
     22162658     RESP    953 
     22162666     RESP    930 
     22162674     RESP    904 
     22162682     RESP    866 
     22162690     RESP    818 
     22162698     RESP    780 
     22162706     RESP    758 
     22162714     RESP    746 
     22162722     RESP    746 
     22162730     RESP    731 
     22162738     RESP    724 
     22162746     RESP    701 
     22162754     RESP    705 
     22162762     RESP    679 
     22162770     RESP    611 
     22162778     RESP    551 
     22162786     RESP    488 
     22162794     RESP    454 
     22162802     RESP    446 
     22162810     RESP    431 
     22162818     RESP    420 
     22162826     RESP    394 
     22162834     RESP    379 
     22162842     RESP    364 
     22162850     RESP    330 
     22162858     RESP    319 
     22162866     RESP    300 
     22162874     RESP    311 
     22162882     RESP    319 
     22162890     RESP    315 
     22162898     RESP    296 
     22162906     RESP    281 
     22162914     RESP    270 
     22162922     RESP    304 
     22162930     RESP    326 
     22162938     RESP    353 
     22162946     RESP    375 
     22162954     RESP    413 
     22162962     RESP    450 
     22162970     RESP    518 
     22162978     RESP    570 
     22162986     RESP    638 
     22162994     RESP    720 
     22163002     RESP    806 
     22163010     RESP    900 
     22163018     RESP    998 
     22163026     RESP   1088 
     22163034     RESP   1178 
     22163042     RESP   1264 
     22163050     RESP   1358 
     22163058     RESP   1451 
     22163066     RESP   1545 
     22163074     RESP   1650 
     22163082     RESP   1785 
     22163090     RESP   1901 
     22163098     RESP   2025 
     22163106     RESP   2141 
     22163114     RESP   2216 
     22163122     RESP   2261 
     22163130     RESP   2321 
     22163138     RESP   2363 
     22163146     RESP   2423 
     22163154     RESP   2520 
     22163162     RESP   2618 
     22163170     RESP   2711 
     22163178     RESP   2801 
     22163186     RESP   2880 
     22163194     RESP   2951 
     22163202     RESP   3008 
     22163210     RESP   3045 
     22163218     RESP   3113 
     22163226     RESP   3188 
     22163234     RESP   3266 
     22163242     RESP   3349 
     22163250     RESP   3416 
     22163258     RESP   3488 
     22163266     RESP   3555 
     22163274     RESP   3626 
     22163282     RESP   3698 
     22163290     RESP   3780 
     22163298     RESP   3874 
     22163306     RESP   3956 
     22163314     RESP   4043 
     22163322     RESP   4091 
     22163330     RESP   4095 
     22163338     RESP   4095 
